time,wd,wsp,wsp2,gust
14/12/2014 02:00,215,9.2,9.2,
14/12/2014 03:00,231,8.9,8.9,
14/12/2014 04:00,247,8.5,8.5,17.2
14/12/2014 05:00,234,8.4,8.4,
14/12/2014 06:00,218,8.2,8.2,
14/12/2014 07:00,203,8.1,8.1,
14/12/2014 08:00,190,8,8,
14/12/2014 09:00,189,7.8,7.8,
14/12/2014 10:00,233,7.8,7.8,17.4
14/12/2014 11:00,182,8,8,
14/12/2014 12:00,163,8.4,8.4,
14/12/2014 13:00,146,8.7,8.7,
14/12/2014 14:00,131,9.1,9.1,
14/12/2014 15:00,117,9.4,9.4,
14/12/2014 16:00,105,9.8,9.8,20.1
14/12/2014 17:00,112,9.4,9.4,
14/12/2014 18:00,117,8.9,8.9,
14/12/2014 19:00,120,8.5,8.5,
14/12/2014 20:00,120,8.1,8.1,
14/12/2014 21:00,120,7.7,7.7,
14/12/2014 22:00,114,7.3,7.3,19
14/12/2014 23:00,128,7,7,
